timestamp_s,pose_id,category,source,simulation_verified,hardware_verified,collision_checked,singularity_checked,min_joint_margin_rad,min_jacobian_sigma,arm_q1,arm_q2,arm_q3,arm_q4,arm_q5,arm_q6,max_arm_contact_force,max_hold_error,max_hold_torque_ratio
0.0,synthetic_0000,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.290683102,0.075021232,0.058351540,2.849316898,-2.432611897,1.274164430,-0.534398676,-0.940017736,0.000000000,0.029374719,0.298231363
0.0,synthetic_0001,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.228267882,0.168196847,1.617540003,1.312125547,-1.351278676,-1.341732118,0.719977229,0.467637020,0.000000000,0.010075390,0.137356907
0.0,synthetic_0002,directional_extension,synthetic_urdf_jacobian,true,false,true,true,0.530678420,0.133525141,-0.840444247,2.389137518,-2.008449071,-0.132065994,-1.039321580,-1.187834786,0.000000000,0.017883062,0.276499778
0.0,synthetic_0003,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.386161930,0.182588496,-1.463744932,0.894969887,-0.815802382,-0.623639127,-0.042057633,5.893838070,0.000000000,0.037974834,0.159999996
0.0,synthetic_0004,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.339260092,0.208681536,2.278739908,2.208403432,-1.373593854,-0.633628981,-0.963748295,5.761285566,0.000000000,0.007973194,0.234347954
0.0,synthetic_0005,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.479058339,0.038440371,0.079314538,0.479058339,-1.154190473,0.785780045,0.320929375,5.116069861,0.000000000,0.060198784,0.144625694
0.0,synthetic_0006,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.327072805,0.189864147,-2.272569561,1.651193508,-1.592005267,-1.242927195,0.401372000,4.323278600,0.000000000,0.041952610,0.164711699
0.0,synthetic_0007,workspace_midrange,synthetic_urdf_jacobian,true,false,true,true,0.577051995,0.181298398,0.458756865,0.888676752,-0.577051995,0.026968304,0.030924432,3.102150346,0.000000000,0.000133157,0.180000007
0.0,synthetic_0008,workspace_midrange,synthetic_urdf_jacobian,true,false,true,true,0.662260118,0.153454183,-1.737856831,2.477739882,-0.994705493,0.815355314,-0.875809824,3.706984616,0.000000000,0.004894018,0.159999996
0.0,synthetic_0009,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.381609433,0.048813020,-1.523625101,0.381609433,-0.536124137,1.026045129,1.069365354,-0.344386841,0.000000000,0.003022820,0.167884916
0.0,synthetic_0010,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.170140793,0.044558679,-1.115297154,0.170140793,-1.094897799,0.624542649,0.953016575,-2.674177837,0.000000000,0.007488728,0.122055896
0.0,synthetic_0011,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.253174721,0.135096841,-1.405683127,1.965701119,-0.669938255,1.316825279,-0.992509482,-0.218076121,0.000000000,0.000261307,0.109839052
0.0,synthetic_0012,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.219553524,0.214605731,1.948317496,1.350516016,-1.244839050,-1.350446476,0.492626080,5.138026477,0.000000000,0.000355959,0.139144972
0.0,synthetic_0013,directional_extension,synthetic_urdf_jacobian,true,false,true,true,0.475122443,0.191002551,1.613209827,2.664877557,-1.055866165,-0.722631561,0.762588277,-3.534867656,0.000000000,0.005338848,0.200000003
0.0,synthetic_0014,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.328118900,0.044505504,1.635172584,0.328118900,-0.615441453,-0.952799363,-0.354582530,-2.246790078,0.000000000,0.000217676,0.122305743
0.0,synthetic_0015,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.166541850,0.116916346,0.944439606,0.657144134,-1.760245190,-1.403458150,-0.674515016,-0.966225138,0.000000000,0.000287414,0.100150146
0.0,synthetic_0016,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.672827224,0.159011318,-1.945172776,1.948174247,-1.802470430,0.639834784,0.436979471,-0.843160060,0.000000000,0.036780238,0.234016269
0.0,synthetic_0017,directional_extension,synthetic_urdf_jacobian,true,false,true,true,0.656017275,0.207965469,1.813094016,1.945263734,-0.656017275,-0.449302984,0.124020783,-3.723400188,0.000000000,0.003641129,0.155124962
0.0,synthetic_0018,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.169047086,0.119810915,2.448952914,0.840731919,-2.132008778,-1.212140194,-0.687839142,3.225955809,0.000000000,0.037889481,0.128365561
0.0,synthetic_0019,workspace_midrange,synthetic_urdf_jacobian,true,false,true,true,0.515431923,0.133851846,0.976802665,0.515431923,-1.813634293,-0.224583239,0.468555260,-0.540310913,0.000000000,0.028874516,0.129924521
0.0,synthetic_0020,workspace_midrange,synthetic_urdf_jacobian,true,false,true,true,0.605295726,0.227374601,0.427054461,2.534704274,-0.879522234,-0.383379372,-0.146554481,-1.622003276,0.000000000,0.005530596,0.167602345
0.0,synthetic_0021,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.691650302,0.122523055,-1.926349698,0.727205985,-2.060159713,-0.527859736,-0.530944081,0.940338521,0.000000000,0.034023106,0.132921949
0.0,synthetic_0022,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.289738280,0.158174552,2.328261720,2.350046143,-0.707066647,0.736322542,0.275445155,5.120907073,11979.417968750,0.044506311,0.247924373
0.0,synthetic_0023,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.355590226,0.049486103,0.936014447,1.571012263,-2.611509774,-0.032804195,-0.815559973,-4.503143392,0.000000000,0.043655396,0.114015616
0.0,synthetic_0024,directional_extension,synthetic_urdf_jacobian,true,false,true,true,0.760357769,0.131164621,0.029936458,2.379642231,-2.030288316,0.763311798,0.072787846,-4.302671233,0.000000000,0.000222849,0.271264434
0.0,synthetic_0025,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.322919216,0.119091412,2.295080784,1.290646876,-2.029680717,0.985475373,-1.066532656,2.863819053,0.000000000,0.013997793,0.133564323
0.0,synthetic_0026,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.460266114,0.108299314,-1.540897071,1.264676644,-2.198599834,0.969087499,-0.312188272,5.819733886,0.000000000,0.073614597,0.102154590
0.0,synthetic_0027,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.874146859,0.207078598,0.618290687,2.119888851,-1.426140347,-0.542530315,-0.296619764,5.405853141,0.000000000,0.099637032,0.239694461
0.0,synthetic_0028,near_allowed_boundary,synthetic_urdf_jacobian,false,false,true,true,0.183458321,0.097042159,-1.474861001,2.956541679,-0.794622435,-0.398205129,0.401898594,-1.459166328,352997.031250000,0.050589323,0.513203800
0.0,synthetic_0029,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.197789488,0.063078274,1.225203846,1.407520448,-2.258926531,1.150207301,-1.372210512,-2.408980560,0.000000000,0.000166655,0.092185631
0.0,synthetic_0030,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.154808245,0.133045628,2.463191755,0.894496901,-0.552613356,0.300140142,0.869141409,1.597695682,0.000000000,0.000242710,0.150228754
0.0,synthetic_0031,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.220636940,0.030124804,-0.677728314,2.310640148,-2.746463060,-0.151051217,-0.363933022,-0.281072691,0.000000000,0.000156641,0.239138082
0.0,synthetic_0032,workspace_midrange,synthetic_urdf_jacobian,true,false,true,true,0.741696376,0.069400319,-1.838064291,0.781919499,-1.318052204,-0.318735712,0.828303624,1.288974585,0.000000000,0.000238180,0.118013613
0.0,synthetic_0033,directional_extension,synthetic_urdf_jacobian,true,false,true,true,0.766960271,0.223612847,1.783212356,2.229904778,-1.211976682,-0.603171690,0.803039729,-3.049459492,0.000000000,0.029111385,0.227972016
0.0,synthetic_0034,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.255464597,0.207154270,-2.096757952,2.884535403,-1.376836115,0.777859805,0.082992774,1.367967494,0.000000000,0.000174999,0.179107815
0.0,synthetic_0035,near_allowed_boundary,synthetic_urdf_jacobian,true,false,true,true,0.317292149,0.120120817,-2.300707851,0.680494049,-1.017635913,0.200403458,-0.969703703,5.541878835,0.000000000,0.006459236,0.158245683
